Region,Rows,Columns,Missing Values,Start Date Range,End Date Range,Glacier Area Range (km²),Combined Mass Change (Gt)
12_caucasus_middle_east,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,1123.43185 - 1282.75515,-1.8119059633143595 - 0.6360925487896292
17_southern_andes,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,28184.1533 - 29402.5139,-67.135862594548 - 7.61001311639548
1_alaska,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,80272.66 - 89847.1,-144.96724967946653 - 55.42475171089546
19_antarctic_and_subantarctic,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,119414.21625 - 127665.25695,-82.18509811946437 - 54.21030700577958
9_russian_arctic,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,50663.344 - 51612.6368,-60.4847308697026 - 8.519843072055021
11_central_europe,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,1693.1602 - 2140.639,-6.237435177272426 - 0.4019665729881813
8_scandinavia,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,2777.81055 - 2960.94345,-5.233164247312704 - 1.7778450224721014
7_svalbard,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,32413.8655 - 34444.6137,-42.11223980325151 - 8.898909088510552
14_south_asia_west,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,30728.1472 - 33507.5776,-34.3384991492528 - 9.726773430882623
4_arctic_canada_south,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,40119.3056 - 40871.6448,-50.54712713038396 - 1.5608686349126528
3_arctic_canada_north,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,103308.34635 - 105000.63345,-83.30383705815383 - 14.803773171172445
10_north_asia,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,2249.3735 - 2487.7225,-2.383431710308152 - 0.4721992168201645
15_south_asia_east,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,13314.3791 - 14907.1245,-17.589780221019534 - 0.8262841166758295
18_new_zealand,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,797.1901 - 981.5995,-2.1815863332370538 - 0.8406476913557156
16_low_latitudes,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,1714.1972500000002 - 2354.92895,-2.769504894430206 - 1.0742074293211157
5_greenland_periphery,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,72428.5341 - 89349.1603,-86.27339719312873 - 21.19402971840975
13_central_asia,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,47661.2101 - 49702.3543,-40.61362594960092 - 23.07038904132115
2_western_canada_us,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,12759.334 - 14563.2148,-33.28211098254605 - 12.22074313575233
0_global,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,651707.1669499998 - 704082.6956499998,-548.025110248126 - -78.04414729402814
6_iceland,24,"['start_dates', 'end_dates', 'glacier_area', 'region', 'combined_gt', 'combined_gt_errors', 'combined_mwe', 'combined_mwe_errors']","{'start_dates': 0, 'end_dates': 0, 'glacier_area': 0, 'region': 0, 'combined_gt': 0, 'combined_gt_errors': 0, 'combined_mwe': 0, 'combined_mwe_errors': 0}",2000.0 - 2023.0,2001.0 - 2024.0,10084.508 - 11000.276,-30.63731167132132 - 6.969062312583269
